Lebensmittel;Einheit;kcal;PRO;FAT;KH;FIB;GI;Standard;LiquidMl;Kategorie;Zusatzinfo;vitA;vitB1;vitB2;vitB3;vitB5;vitB6;vitB7;vitB9;vitB12;vitC;vitD;vitE;vitK;calcium;chlorid;eisen;fluorid;kalium;kupfer;magnesium;mangan;natrium;phosphor;schwefel;zink;VGN;VGT;LC;HP;KET;GF;LF;ZF
"Tortellini (Kühlregal)";100g;265;9.2;7.8;38.2;3.5;60;200;;Brot&Teigwaren;"Durchschnittswerte für Tortellini mit Fleisch- oder Käsefüllung aus dem Kühlregal.";20;0.12;0.1;1.4;0.3;0.1;0.005;25;0.0005;;;0.5;2;80;450;1.8;;160;0.08;25;0.2;480;120;100;0.9;N;J;N;N;N;N;N;N
"Maultaschen";100g;198;8.5;8.5;22;1.4;60;150;;Fertiggerichte;"Werte variieren je nach Füllung (Fleisch/Gemüse). Durchschnittswerte für klassische Fleisch-Maultaschen.";45;0.12;0.1;2.2;0.4;0.15;1.5;18;0.4;1;0.1;0.5;5;25;450;1.5;0.02;180;0.1;20;0.15;480;120;90;1.1;N;J;N;N;N;N;N;N
"Flammkuchen TK (Elsässer Art)";100g;265;7.4;14.2;26.5;1.8;75;250;;Fertiggerichte;"Durchschnittswerte für Tiefkühl-Flammkuchen mit Speck und Zwiebeln.";45;0.1;0.1;1.2;0.3;0.1;0.005;15;0.4;2;;0.5;5;85;450;1.5;;180;0.08;22;0.2;650;140;100;0.8;N;J;N;N;N;N;N;N
"Gyoza TK";100g;210;7.4;8.2;26.5;1.4;60;150;;Fertiggerichte;"Werte variieren je nach Füllung (Fleisch oder Gemüse). Durchschnittswerte für angebratene Teigtaschen.";0.01;0.1;0.04;1.2;0.3;0.08;0.005;12;0.0005;1;;0.5;;18;100;1.2;;145;0.08;15;0.2;480;75;100;0.6;N;J;N;N;N;N;N;N
"Döner Kebab";100g;235;13.2;11.8;18.5;2.1;60;350;;Fast Food;"Durchschnittswerte für einen klassischen Döner im Fladenbrot mit Fleisch, Salat und Soße.";45;0.12;0.15;3.5;0.5;0.25;2.5;35;0.8;12;0.2;0.8;15;80;450;1.5;0.02;310;0.1;25;0.2;480;180;140;1.8;N;N;N;N;N;N;N;N
"Hamburger (Fertiggericht)";100g;250;13;11;24.5;1.8;65;200;;Fertiggerichte;"Durchschnittswerte für einen klassischen Hamburger aus dem Kühlregal oder Fast-Food Bereich.";20;0.15;0.2;4.5;0.5;0.2;3;25;1.2;1;0.1;0.8;5;80;450;2.2;0.02;220;0.1;25;0.2;500;180;140;2.4;N;N;N;N;N;N;N;N
"Cheeseburger (Fertiggericht)";100g;260;12.4;11.2;26.5;1.8;65;150;;Fertiggerichte;"Durchschnittswerte für mikrowellengeeignete Cheeseburger mit Rindfleisch und Schmelzkäse zubereitet.";45;0.12;0.18;3.2;0.4;0.15;3;25;0.9;0.5;0.2;0.6;4.5;120;450;1.8;0.02;210;0.1;25;0.2;580;180;140;2.1;N;N;N;N;N;N;N;N
"Asia-Pfanne TK";100g;65;2.8;2.4;5.8;2.6;35;375;;Gemüse;"Durchschnittswerte für eine klassische Tiefkühl-Gemüsemischung asiatischer Art, teils vorgegart mit etwas Öl/Würze.";450;0.04;0.05;0.6;0.3;0.12;0.005;35;;25;;1.2;15;35;100;0.8;;210;0.08;22;0.2;450;45;100;0.4;J;J;N;N;N;J;J;N
"Bami Goreng TK";100g;125;5.2;4.8;14.5;1.8;60;400;;Fertiggerichte;"Durchschnittswerte für eine tiefgekühlte Fertigmischung mit Nudeln, Gemüse und Hühnerfleisch.";85;0.08;0.05;1.8;0.4;0.12;1.5;12;0.15;8;;0.9;15;25;450;1.1;0.02;180;0.1;20;0.2;480;75;40;0.8;N;J;N;N;N;N;N;N
"Nasi Goreng TK";100g;128;5.2;3.8;17.5;1.8;60;450;;Fertiggerichte;"Durchschnittswerte für Tiefkühl-Fertiggericht mit Reis, Hähnchenfleisch und Gemüse. Kann je nach Hersteller variieren.";65;0.08;0.05;1.8;0.3;0.15;0.005;12;0.0005;9;;0.8;10;25;100;1.1;;180;0.08;22;0.2;450;90;100;0.8;N;J;N;N;N;N;N;N
"Cordon Bleu TK";100g;235;15.5;12.7;14.5;0.8;60;150;;Fertiggerichte;"Durchschnittswerte für paniertes Schweine-Cordon-Bleu (tiefgekühlt)";15;0.35;0.18;4.2;0.6;0.3;3;8;0.6;;0.15;0.3;2;35;450;1.1;0.02;280;0.08;25;0.04;580;180;140;1.2;N;N;N;J;N;N;N;N
"Kartoffelpuffer TK";100g;180;2.4;8.5;22;2.5;75;120;;Fertiggerichte;"Durchschnittswerte für tiefgekühlte Kartoffelpuffer, vorgeröstet. Werte können je nach Fettgehalt variieren.";2;0.08;0.03;1.2;0.3;0.2;0.1;15;;8;;0.8;3;15;450;0.7;0.02;380;0.1;22;0.15;330;55;25;0.3;N;J;N;N;N;J;J;N
"Kroketten TK";100g;175;2.2;6.5;25.1;2.8;75;150;;Fertiggerichte;"Durchschnittswerte für tiefgekühlte Kartoffelkroketten, unzubereitet.";0.01;0.08;0.03;1.2;0.3;0.2;0.1;15;;8;;0.6;3;15;450;0.7;0.02;380;0.1;22;0.15;330;55;25;0.3;N;J;N;N;N;J;J;N
"Cevapcici TK";100g;265;15.5;22;1.5;0.5;15;150;;Fertiggerichte;"Werte können je nach Fleischmischung (Rind/Schwein/Lamm) variieren. Tiefkühlware meist vorportioniert.";12;0.15;0.18;4.5;0.5;0.35;2.5;8;1.8;0.5;0.4;0.2;3;15;450;2.2;0.02;310;0.1;22;0.05;580;180;190;3.8;N;N;J;J;J;J;J;N
"Bratwurst (Fertigpackung)";100g;297;13.5;26.5;1;0;;100;;Fertiggerichte;"Durchschnittswerte für gebrühte Bratwurst, Werte können je nach Hersteller variieren. Hoher Natriumgehalt.";15;0.15;0.18;3.5;0.6;0.2;1.5;5;0.8;;0.4;0.2;1;15;800;1.5;0.04;240;0.1;18;0.03;850;180;140;2.5;N;N;J;N;J;J;J;N
"Gulaschsuppe (Dose)";100g;76;4.6;3.8;5.2;1.4;30;400;;Fertiggerichte;"Durchschnittswerte für eine klassische Gulaschsuppe aus der Konserve. Fleischanteil und Würzung können variieren.";45;0.04;0.05;1.2;0.25;0.1;1.5;8;0.4;2;;0.5;3;15;450;1.1;0.02;180;0.1;12;0.1;480;65;40;1.2;N;N;N;N;N;J;J;N
"Erbsensuppe (Dose)";100g;68;4.2;1.8;8.3;3.2;35;400;;Fertiggerichte;"Durchschnittswerte für klassische Erbsensuppe mit Speckanteil aus der Dose. Salzgehalt kann variieren.";45;0.08;0.04;0.9;0.25;0.06;1.5;15;0.1;2;;0.3;5;18;450;1.1;0.02;180;0.1;22;0.2;380;65;25;0.6;N;J;N;N;N;J;J;N
"Wrap Hähnchen";100g;215;12.8;8.4;22.5;1.8;55;200;;Fast Food;"Durchschnittswerte für einen fertigen Weizen-Wrap mit gebratenem Hähnchenbruststreifen, Salat und Sauce.";45;0.1;0.1;4.8;0.3;0.3;0.005;35;0.3;3;;0.8;12;65;100;1.4;;220;0.08;28;0.2;480;160;100;1.1;N;N;N;N;N;N;N;N
"Burrito Bohnen & Reis";100g;165;5.5;3.8;24.5;5.2;50;350;;Fertiggerichte;"Durchschnittswerte für einen Burrito mit schwarzen Bohnen, mexikanischem Reis und Tortilla.";25;0.12;0.08;1.4;0.25;0.15;1.5;65;;2;;0.5;4.5;45;410;1.8;0.02;210;0.15;38;0.4;380;110;45;1.1;J;J;N;N;N;J;J;N
"Hot Dog";100g;290;10.5;18.4;24.3;1.2;60;125;;Fast Food;"Durchschnittswert für einen klassischen Hot Dog (Weizenbrötchen mit Brühwurst)";0.01;0.12;0.18;3.2;0.3;0.15;0.005;0.05;0.6;2;;0.3;2.5;64;600;1.5;;185;0.08;18;0.2;680;125;100;1.4;N;N;N;N;N;N;N;N
"Chicken Wings TK";100g;235;18.4;16.2;1.5;0;;250;;Fertiggerichte;"Werte können je nach Panade und Würzung leicht variieren. TK-Ware ist meist vorfrittiert.";28;0.08;0.15;6.5;0.8;0.35;1.8;6;0.4;;0.1;0.4;1.8;15;450;1.1;0.04;220;0.08;22;0.02;650;180;210;1.4;N;N;J;J;J;J;J;N
"Taquitos TK";100g;285;6.5;14;32;3.2;65;150;;Fertiggerichte;"Durchschnittswerte für tiefgekühlte Taquitos mit Fleisch- oder Käsefüllung. Werte können je nach Marke und Füllung variieren.";45;0.1;0.1;1.8;0.3;0.1;0.005;15;0.3;1.5;;1.2;4.5;85;100;1.2;;180;0.08;28;0.2;640;140;100;0.8;N;J;N;N;N;N;N;N
"Backfisch TK";100g;230;15;12;15;0.8;65;150;;Fertiggerichte;"Werte können je nach Panadenanteil und Fischart (meist Seelachs) variieren. Zubereitung im Ofen angenommen.";15;0.06;0.08;2.5;0.25;0.2;1.5;12;0.9;;1.1;1.2;2.5;20;450;0.7;0.1;280;0.05;25;0.03;420;180;190;0.4;N;N;N;J;N;N;J;N
"Rösti TK";100g;145;2;6;20.5;2.4;75;150;;Fertiggerichte;"Werte können je nach Vorfrittierung und Sorte variieren. Zubereitungsart (Pfanne/Ofen) beeinflusst den Endfettgehalt.";0.01;0.08;0.02;1.2;0.3;0.25;0.1;15;;9;;0.8;3;12;410;0.6;0.04;330;0.1;18;0.12;330;45;25;0.3;J;J;N;N;N;J;J;N
"Mini-Frikadellen TK";100g;265;13.8;20.5;6.5;0.6;25;100;;Fertiggerichte;"Werte können je nach Hersteller (Fleischanteil und Panade) leicht variieren. Gefroren oder zubereitet.";15;0.15;0.18;4.5;0.6;0.25;2.5;8;1.2;1;0.4;0.5;3;35;800;2.2;0.04;310;0.12;24;0.08;750;185;140;3.2;N;N;N;J;N;J;J;N
"Cannelloni (Fertiggericht)";100g;152;7.8;6.8;14.5;1.2;50;400;;Fertiggerichte;"Durchschnittswerte für tiefgekühlte oder gekühlte Cannelloni mit Fleischfüllung und Béchamelsauce.";45;0.06;0.12;1.8;0.35;0.09;1.5;12;0.4;1.5;0.1;0.8;4;120;450;1.1;0.02;210;0.08;22;0.15;380;145;85;0.9;N;J;N;N;N;N;N;N
"Salz";100g;0;0;0;0;0;;;;Gewürze;"Reich an Natrium";;;;;;;;;;;;;;24;59000;0.3;;9;;1;;38750;8;;;J;J;J;N;J;J;J;J
"Pfeffer";100g;251;10.4;3.3;38.6;25.3;15;;;Gewürze;"Kann Spuren von Gluten enthalten";;0.1;0.1;1.1;0.3;0.2;;10;;;;1;;430;;9;;1300;0.7;190;6;20;200;;1;J;J;N;N;N;J;J;J
"Kurkuma (gemahlen)";100g;354;7.8;9.9;64.9;21.1;5;5;;Gewürze;"Getrocknetes Gewürzpulver. Hoher Gehalt an Curcumin und Antioxidantien.";;0.15;0.23;5.1;0.3;1.8;;39;;25.9;;3.1;13.4;183;;41.4;;2525;0.6;193;7.8;38;268;;4.3;J;J;N;N;N;J;J;J
"Cheeseburger";100g;263;11.2;12.7;26;1.4;65;165;;Fast Food;"Standard-Fastfood-Variante mit Rindfleisch, Käse und Weizenbrötchen. Werte können je nach Restaurant variieren.";70;0.15;0.18;3.8;0.5;0.12;3;35;1.2;1.2;0.2;0.6;3.5;188;450;2.3;0.02;210;0.1;23;0.2;550;180;140;2.4;N;N;N;N;N;N;N;N
"Big Mac";100g;258;13.2;11;25.5;1.5;60;219;;Fast Food;"McDonald's: Zwei Beef Patties mit Spezialsoße, Salat und Käse auf Sesambrötchen.";;;;;;;;;;;;;;;;;;;;;;;;;;N;N;N;N;N;N;N;N
"Hamburger Royal TS";100g;270;15;12;26.5;1.5;65;228;;Fast Food;"McDonald's: Großer Rinder-Hamburger mit Tomate und Salat.";;;;;;;;;;;;;;;;;;;;;;;;;;N;N;N;N;N;N;N;N
"Hamburger Royal";100g;270;15;12;26.5;1.5;65;200;;Fast Food;"Großer Rinder-Hamburger mit doppeltem Fleischpatty.";;;;;;;;;;;;;;;;;;;;;;;;;;N;N;N;N;N;N;N;N
"Chickenburger";100g;215;13;9.5;22;1.2;60;150;;Fast Food;"McDonald's: Paniertes Hähnchenpatty auf Brötchen mit Sauce.";;;;;;;;;;;;;;;;;;;;;;;;;;N;N;N;N;N;N;N;N
"Big Tasty Bacon";100g;280;14.5;12.8;28;1.4;65;350;;Fast Food;"McDonald's: Großer Burger mit Rinderfleisch, Bacon, Käse und würziger Soße.";;;;;;;;;;;;;;;;;;;;;;;;;;N;N;N;N;N;N;N;N
"Chicken McNuggets (6er)";100g;250;15.3;14.6;14.2;0.5;45;104;;Fast Food;"Frittiertes Hähnchenbrustfleisch in Panade. Nährwerte können je nach Zubereitung leicht variieren. Portionsgröße ca. 104g für 6 Stück.";;;;5.2;;0.2;;;;;;0.5;;15;;0.7;;260;;25;;500;180;;0.8;N;N;N;J;N;N;J;N
"Chicken McNuggets (9er)";100g;250;16.8;13.8;14.2;1.2;60;154;;Fast Food;"Werte basieren auf frittierten Nuggets ohne Sauce. 9 Stück entsprechen ca. 154g.";20;0.1;0.1;5.2;0.6;0.3;2;5;0.3;;0.2;0.8;5;20;450;1.1;0.02;210;0.1;25;0.1;480;180;140;0.8;N;N;N;J;N;N;N;N
"Chicken McNuggets (20er Packung)";100g;252;15.5;15;18;1.2;50;350;;Fast Food;"Werte variieren leicht je nach Region und Zubereitung";;;0.1;0.1;5.2;0.6;0.3;1.5;8;0.3;0.5;0.1;0.3;1.1;11;450;0.7;0.02;267;0.06;23;0.04;580;180;180;;N;N;N;J;N;N;N
"Pommes Frites TK";100g;289;3;13.9;36.1;3.4;75;150;;Fertiggerichte;"Frittiert, Durchschnittswerte gesalzen. Kohlenhydratreich mit hohem GI.";;0.12;0.04;1.8;0.4;0.35;1;30;;9;;1.2;10;15;210;0.9;0.04;540;0.18;28;0.2;210;120;40;0.4;J;J;N;N;N;J;J;J
"Curly Fries";100g;285;3.5;15;32;3.2;75;176;;Fertiggerichte;"Frittierte, spiralförmige Kartoffelspalten mit Panade/Gewürzmischung. Werte können je nach Zubereitung (Ofen vs. Fritteuse) variieren.";2;0.08;0.03;1.8;0.4;0.3;0.5;15;;12;;0.8;5;15;210;0.8;0.02;380;0.12;22;0.15;450;60;25;0.4;J;J;N;N;N;N;J;N
"McFlurry (Milcheis)";100g;165;3;6.2;24.1;0.6;60;180;;Süßwaren;"Durchschnittswerte ohne Toppings. Enthält Gluten durch Waffelstückchen oder Toppings möglich. Hoher Zuckeranteil.";;;0.18;;;;;;0.4;1;;;;125;;;;190;;13;;90;105;;;N;J;N;N;N;N;N;N
"Putenbrustfilet";100g;105;23;1;0;0;;;;Fleisch&Wurst;"Mageres Fleisch, reich an Protein";;0.1;0.2;11;0.8;0.6;;5;0.4;;;0.1;;10;;0.8;;300;;25;;60;200;;0.8;N;N;J;J;J;J;J;J
"Lauch";100g;29;2.1;0.3;3.3;2.3;15;;;Gemüse;"Reich an Vitamin K";;0.1;0.1;0.5;0.1;0.1;;80;;12;;;47;59;;2.1;;180;;10;;10;30;;0.1;J;J;J;N;N;J;J;J
"Ingwer";100g;80;1.8;0.8;12;2;15;;;Gemüse;"Kann entzündungshemmend wirken";;;;0.8;0.2;0.2;;11;;5;;0.3;;16;;0.6;;415;0.1;43;0.2;13;34;;0.3;J;J;N;N;N;J;J;N
"Kümmel";100g;333;19.8;14.6;12;38;5;;;Gewürze;"Reich an Ballaststoffen";;0.4;0.4;4;0.3;0.4;;10;;7;;2.5;;689;;66;;1351;0.9;366;1.3;17;499;;4.8;J;J;N;J;N;J;J;J
"Zitronenschale gerieben";100g;47;1.5;0.3;16;10.6;5;;;Obst;"Reich an Vitamin C und Ballaststoffen";;0.1;0.1;0.3;0.2;0.1;;10;;129;;;;134;;0.8;;160;0.1;10;;6;16;;0.1;J;J;N;N;N;J;J;J
"Kartoffelsalat mit Essig und Öl";100g;105;1.6;5.2;12.5;1.8;60;200;;Fertiggerichte;"Durchschnittliche Werte für klassischen Kartoffelsalat mit Essig-Öl-Dressing. Salzgehalt variiert je nach Zubereitung.";2;0.08;0.03;1.2;0.4;0.2;0.1;15;;11;;1.2;12;12;210;0.7;0.01;330;0.1;18;0.15;350;45;25;0.3;J;J;N;N;N;J;J;N
"Spaghetti (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Klassische Hartweizen-Spaghetti, ungekocht.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Penne (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Röhrenförmige Nudeln mit schrägen Enden, Hartweizen.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Fusilli (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Spiralförmige Nudeln aus Hartweizen.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Rigatoni (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Große, gerillte Röhrennudeln aus Hartweizen.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Tagliatelle (trocken)";100g;360;13;1.8;70;3;50;100;;Getreide und Teigwaren;"Breite Bandnudeln, traditionell mit Ei.";30;0.2;0.08;1.5;0.5;0.15;2;30;0.2;;0.3;0.6;1.2;30;50;1.6;0.04;190;0.2;50;0.6;10;170;145;1.5;N;J;N;N;N;N;N;J
"Farfalle (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Schmetterlingsförmige Nudeln aus Hartweizen.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Linguine (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Flache, schmale Bandnudeln aus Hartweizen.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Fettuccine (trocken)";100g;360;13;1.8;70;3;50;100;;Getreide und Teigwaren;"Breite Bandnudeln, oft mit Ei hergestellt.";30;0.2;0.08;1.5;0.5;0.15;2;30;0.2;;0.3;0.6;1.2;30;50;1.6;0.04;190;0.2;50;0.6;10;170;145;1.5;N;J;N;N;N;N;N;J
"Makkaroni (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Kurze, gebogene Röhrennudeln aus Hartweizen.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Conchiglie (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Muschelförmige Nudeln aus Hartweizen.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Orecchiette (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Kleine, ohrenförmige Nudeln aus Hartweizen, typisch apulisch.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Pappardelle (trocken)";100g;360;13;1.8;70;3;50;100;;Getreide und Teigwaren;"Sehr breite Bandnudeln, traditionell mit Ei.";30;0.2;0.08;1.5;0.5;0.15;2;30;0.2;;0.3;0.6;1.2;30;50;1.6;0.04;190;0.2;50;0.6;10;170;145;1.5;J;J;N;N;N;N;J;J
"Bucatini (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Dicke, hohle Spaghetti aus Hartweizen.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Campanelle (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Glockenförmige Nudeln mit gewellten Rändern.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Cavatappi (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Spiralförmige Röhrennudeln (Korkenzieher-Nudeln).";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Orzo (Risoni, trocken)";100g;360;12;1.5;73;3;50;80;;Getreide und Teigwaren;"Reiskornförmige Nudeln, oft für Suppen und Salate.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Stelline (trocken)";100g;358;12.5;1.5;71;3.2;49;80;;Getreide und Teigwaren;"Kleine Sternchenförmige Suppennudeln.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Hörnchen (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Kleine gebogene Röhrennudeln, in Deutschland beliebt.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Spirelli (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Spiralnudeln, ähnlich Fusilli. In Deutschland gängige Bezeichnung.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Bandnudeln (trocken)";100g;360;13;1.8;70;3;50;100;;Getreide und Teigwaren;"Breite, flache Nudeln, oft mit Ei.";30;0.2;0.08;1.5;0.5;0.15;2;30;0.2;;0.3;0.6;1.2;30;50;1.6;0.04;190;0.2;50;0.6;10;170;145;1.5;J;J;N;N;N;N;J;J
"Gabelspaghetti (trocken)";100g;358;12.5;1.5;71;3.2;49;100;;Getreide und Teigwaren;"Kürzere Spaghetti, leichter zu essen.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Capellini (trocken)";100g;358;12.5;1.5;71;3.2;49;80;;Getreide und Teigwaren;"Sehr dünne Spaghetti (Engelshaar-Nudeln).";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Vermicelli (trocken)";100g;358;12.5;1.5;71;3.2;49;80;;Getreide und Teigwaren;"Dünne Nudeln, dicker als Capellini.";;0.18;0.06;1.3;0.4;0.15;1.5;25;;;;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4;J;J;N;N;N;N;J;J
"Spätzle (frisch)";100g;142;5.5;2.5;24.5;1.2;55;200;;Getreide und Teigwaren;"Schwäbische Eiernudeln, frisch zubereitet.";25;0.1;0.08;0.8;0.3;0.08;2;15;0.2;;0.2;0.3;0.5;20;30;0.8;0.02;85;0.1;15;0.2;280;75;60;0.6;N;J;N;N;N;N;N;J
"Schupfnudeln (frisch)";100g;165;3.5;3;30;1.8;65;200;;Getreide und Teigwaren;"Süddeutsche Kartoffelnudeln, fingerförmig.";10;0.06;0.04;1;0.3;0.2;0.5;10;;6;;0.3;1.5;12;150;0.7;0.02;260;0.08;18;0.12;350;45;25;0.4;N;J;N;N;N;N;N;J
"Gnocchi (Kartoffel)";100g;133;3;0.5;28;1.5;65;200;;Getreide und Teigwaren;"Italienische Kartoffelklößchen.";5;0.06;0.03;0.8;0.2;0.15;0.5;8;;5;;0.2;1;10;120;0.6;0.02;220;0.06;15;0.1;300;40;22;0.3;N;J;N;N;N;J;N;J
"Glasnudeln (trocken)";100g;334;0.2;0;82;0;32;80;;Getreide und Teigwaren;"Aus Mungobohnen- oder Süßkartoffelstärke, glutenfrei.";;;;;;;;;;;;;;5;10;0.5;;10;0.02;3;0.02;10;10;2;0.1;J;J;N;N;N;J;J;J
"Reisnudeln (trocken)";100g;360;3.4;0.6;80;1.6;58;80;;Getreide und Teigwaren;"Aus Reismehl hergestellt, glutenfrei.";;0.03;0.02;0.2;0.1;0.02;0.5;3;;;;0.1;;8;15;0.7;0.01;30;0.04;12;0.5;80;70;10;0.4;J;J;N;N;N;J;J;J
"Eiernudeln (trocken)";100g;370;13;3.5;68;3;50;100;;Getreide und Teigwaren;"Nudeln mit Ei-Anteil, reicherer Geschmack.";40;0.22;0.1;1.8;0.6;0.15;3;35;0.3;;0.4;0.7;1.5;35;55;1.8;0.04;180;0.2;45;0.6;15;175;155;1.5;N;J;N;N;N;N;N;J
"Dinkel-Nudeln (trocken)";100g;352;14;2;67;5;45;100;;Getreide und Teigwaren;"Aus Dinkelmehl, nussiger Geschmack, mehr Protein als Weizennudeln.";;0.3;0.1;3;0.7;0.2;2;40;;;;0.6;1.5;30;50;3.5;0.04;330;0.3;90;2;5;340;120;2.5;J;J;N;N;N;N;J;J
"Linsennudeln (trocken)";100g;340;25;1.5;50;10;30;80;;Getreide und Teigwaren;"Aus Linsenmehl, proteinreich, glutenfrei.";2;0.4;0.2;2;1.2;0.4;5;150;;1.5;;0.5;3;40;25;6;0.05;600;0.5;50;1;10;300;100;2.8;J;J;N;J;N;J;J;J
"Kichererbsen-Nudeln (trocken)";100g;350;20;5.5;48;11;33;80;;Getreide und Teigwaren;"Aus Kichererbsenmehl, proteinreich, glutenfrei.";3;0.35;0.15;1.5;1;0.4;4;140;;2;;0.4;5;80;30;4.5;0.04;600;0.4;70;1.5;15;280;90;2.5;J;J;N;J;N;J;J;J
"Edamame-Nudeln (trocken)";100g;335;42;7;18;9;15;80;;Getreide und Teigwaren;"Aus grünem Sojabohnenmehl, sehr proteinreich, glutenfrei.";5;0.4;0.2;2;0.8;0.3;3;200;;3;;0.8;30;150;20;5;0.05;700;0.6;80;1.2;5;350;100;2.8;J;J;N;J;N;J;J;J
"Konjak-Nudeln (Shirataki)";100g;8;0;0;2;3;;200;;Getreide und Teigwaren;"Aus Konjakmehl (Glucomannan), nahezu kalorienfrei, glutenfrei.";;;;;;;;;;;;;;30;;0.3;;5;;5;;10;5;;0.1;J;J;J;N;J;J;J;J
"Zucchini-Nudeln (Zoodles)";100g;17;1.2;0.3;2.1;1;15;200;;Gemüse;"Spiralisierte Zucchini als Nudelersatz, roh.";25;0.05;0.09;0.5;0.2;0.16;0.5;24;;18;;0.1;4.3;16;5;0.4;0.01;260;0.05;18;0.18;8;38;12;0.3;J;J;J;N;N;J;J;J
"Big Tasty Burger";100g;280;14.5;12.8;28;1.4;65;180;;Fast Food;"Großer Burger mit Rinderfleisch, Käse und würziger Soße.";;;;;;;;;;;;;;;;;;;;;;;;;;N;N;N;N;N;N;N;N
"McCrispy";100g;245;14.8;10.5;25;1.3;60;140;;Fast Food;"McDonald's: Knuspriges Hähnchenfilet-Sandwich mit Sauce.";;;;;;;;;;;;;;;;;;;;;;;;;;N;N;N;N;N;N;N;N
